bar_id,guest_count_count,guest_count_mean,guest_count_std,guest_count_min,guest_count_25%,guest_count_50%,guest_count_75%,guest_count_max
9384,781.0,1.503201024327785,1.102004000550687,1.0,1.0,1.0,2.0,12.0
1160,1699.0,1.4267216009417305,1.229215143916521,0.0,1.0,1.0,2.0,12.0
2376,1015.0,1.7261083743842365,1.4968270610096632,0.0,1.0,1.0,2.0,31.0
12265,961.0,1.745057232049948,1.2749750903825847,0.0,1.0,1.0,2.0,16.0
2068,657.0,1.6757990867579908,1.0534099721041343,1.0,1.0,1.0,2.0,10.0
2289,818.0,1.7163814180929096,1.0249043833943958,0.0,1.0,1.0,2.0,10.0
23779,2060.0,1.5820388349514563,1.100385255704974,0.0,1.0,1.0,2.0,10.0
11086,678.0,2.0191740412979353,1.3428242121701701,1.0,1.0,2.0,3.0,9.0
12018,1100.0,1.43,1.280358372261248,0.0,1.0,1.0,2.0,15.0
3478,667.0,1.7211394302848575,0.9633929764517446,1.0,1.0,2.0,2.0,8.0
5401,89.0,2.1797752808988764,1.103319348734134,1.0,2.0,2.0,2.0,6.0
